text,Class,clean_text
"සිංහල හින්දු අලුත් අවුරුදු නැකැත් සීට්ටුව 🌞
*පරණ අවුරුදු ස්නානය
Shaa Fm 90.9 / 91.1 https://t.co/CdmSdXnab7",Neutral,සිංහල හින්දු අලුත් අවුරුදු නැකැත් සීට්ටුව *පරණ අවුරුදු ස්නානය Shaa Fm 90.9 / 91.1
"සිංහල හින්දු අලුත් අවුරුදු නැකැත් සීට්ටුව 🌞
*ආහාර පිසීම
Shaa Fm 90.9 / 91.1
@ShaaFMLanka https://t.co/Mjhs6aPdfm",Neutral,සිංහල හින්දු අලුත් අවුරුදු නැකැත් සීට්ටුව *ආහාර පිසීම Shaa Fm 90.9 / 91.1
මේ අවුරුදු සමයේ සම්පත්කාඩ්ස් වෙතින් සුවිශේෂී වට්ටම් රැසක්: සම්පත් කාඩ්පත් හිමියන් හට ක්‍රෙඩිට් හා ඩෙබිට් කාඩ්පත් වෙ… https://t.co/I6Ia0ZDkKu,Neutral,මේ අවුරුදු සමයේ සම්පත්කාඩ්ස් වෙතින් සුවිශේෂී වට්ටම් රැසක්: සම්පත් කාඩ්පත් හිමියන් හට ක්රෙඩිට් හා ඩෙබිට් කාඩ්පත් වෙ…
මෙවර Roar සිංහල පුවත් හසුනින්... | Roar සිංහල - අපේ භාෂාවෙන් ලෝකය ඔබ වෙත ළං කරන සයිබර් කතිකාවත්හි පුරෝගාමී දැනුම් ස… https://t.co/3lw7DbCMdL,Neutral,මෙවර Roar සිංහල පුවත් හසුනින්... | Roar සිංහල - අපේ භාෂාවෙන් ලෝකය ඔබ වෙත ළං කරන සයිබර් කතිකාවත්හි පුරෝගාමී දැනුම් ස…
"අපෙන් ගිලිහී යන අතීත කුඹුරු ගොවිතැන ආශ්‍රිත ජනවහර (Janwahara)
සම්පූර්ණ ලිපිය කියවන්න 👉 https://t.co/DG58VEkm0m… https://t.co/2xcP1z3DRB",Neutral,අපෙන් ගිලිහී යන අතීත කුඹුරු ගොවිතැන ආශ්රිත ජනවහර (Janwahara) සම්පූර්ණ ලිපිය කියවන්න
"වනචාරී හොල්මනකගේ ගොදුරක් (Horror)
සම්පූර්ණ ලිපිය කියවන්න👉 https://t.co/XS6CgPzM30 👈
Google Paly 👉… https://t.co/79JP4i5BSe",Neutral,වනචාරී හොල්මනකගේ ගොදුරක් (Horror) සම්පූර්ණ ලිපිය කියවන්න Google Paly …
"සිංහල වාක්‍ය රීති 
👉😊 ද්විත්ව උක්ත වාක්‍ය රටාව https://t.co/xJCChgLKWx",Neutral,සිංහල වාක්ය රීති ද්විත්ව උක්ත වාක්ය රටාව
"දෙමළ මව් භාෂාව කරගත්ත එක්කෙනෙක් කොච්චර හොඳට සිංහල කතාකරත් වරද්දගන්න තැන 
👇👇👇👇👇👇
""මට දන්නවා බං""",Neutral,"දෙමළ මව් භාෂාව කරගත්ත එක්කෙනෙක් කොච්චර හොඳට සිංහල කතාකරත් වරද්දගන්න තැන ""මට දන්නවා බං"""
@newsi_lk: සිංහල අලුත් අවුරුදු සමයේ අඩු ආදායම් ලාභීන්ට රුපියල් 5000ක දීමනාවක් https://t.co/xPq3BUpyQa,Neutral,සිංහල අලුත් අවුරුදු සමයේ අඩු ආදායම් ලාභීන්ට රුපියල් 5000ක දීමනාවක්
"සාමාන්‍ය පෙළ සිංහල 📒🖊️🖋දේශක සපුමල් බණ්ඩාර මල්ලව | 2022.03.29
https://t.co/AL966lhOky",Neutral,සාමාන්ය පෙළ සිංහල දේශක සපුමල් බණ්ඩාර මල්ලව | 2022.03.29
"සුබ ම සුබ සිංහල හින්දු අලුත් අවුරුද්දක් වේ වා!
මෙන්න ලැබෙන්න යන ඇදහිය නො හැකි සහන
Read more&gt;&gt;&gt;… https://t.co/n10pcgq4pZ",Neutral,සුබ ම සුබ සිංහල හින්දු අලුත් අවුරුද්දක් වේ වා! මෙන්න ලැබෙන්න යන ඇදහිය නො හැකි සහන Read more&gt;&gt;&gt;…
සිංහල අලුත් අවුරුද්දට අඩු ආදායම් ලාභීන්ට රුපියල් 5000 බැගින් මාස දෙකක කාලයක් ලබාදීමට ඊයේ පැවති කැබිනට් රැස්වීමේදී… https://t.co/GkHUrOlSvg,Neutral,සිංහල අලුත් අවුරුද්දට අඩු ආදායම් ලාභීන්ට රුපියල් 5000 බැගින් මාස දෙකක කාලයක් ලබාදීමට ඊයේ පැවති කැබිනට් රැස්වීමේදී…
සිංහල අලුත් අවුරුද්ද සඳහා අඩු ආදායම්ලාභීන්ට රුපියල් 5000 බැගින් මාස දෙකක් ලබාදීමට රජය තීරණය කර තිබෙනවා.ලක්ෂ 31කට ආස… https://t.co/4YqEGOJqLX,Neutral,සිංහල අලුත් අවුරුද්ද සඳහා අඩු ආදායම්ලාභීන්ට රුපියල් 5000 බැගින් මාස දෙකක් ලබාදීමට රජය තීරණය කර තිබෙනවා.ලක්ෂ 31කට ආස…
"සිංහල අවුරුද්දට රජයෙන් රුපියල් 5000ක්.

https://t.co/hCqmSw4NJu

#SinhalaTamilNewYear #lka #SriLankaTruth",Neutral,සිංහල අවුරුද්දට රජයෙන් රුපියල් 5000ක්.
සිංහල අලුත් අවුරුද්දට අඩු ආදායම් ලාභීන්ට රුපියල් 5000 බැගින් මාස දෙකක කාලයක් ලබාදීමට අද පැවති කැබිනට් රැස්වීමේදී තී… https://t.co/4qsHb2NpEv,Neutral,සිංහල අලුත් අවුරුද්දට අඩු ආදායම් ලාභීන්ට රුපියල් 5000 බැගින් මාස දෙකක කාලයක් ලබාදීමට අද පැවති කැබිනට් රැස්වීමේදී තී…
ඉංග්‍රීසි පත්තරවල යන ඇත්ත .. සිංහල පත්තරවල දාන්නෙ නැත්තෙ උඹල මැටි පිලිම හින්ද.. උංට ඕනි හොදල නාවල ඕනි ඕනි තැනින් තියාගන්න විතරයි..,Hatespeech,ඉංග්රීසි පත්තරවල යන ඇත්ත .. සිංහල පත්තරවල දාන්නෙ නැත්තෙ උඹල මැටි පිලිම හින්ද.. උංට ඕනි හොදල නාවල ඕනි ඕනි තැනින් තියාගන්න විතරයි..
"ඉන්දියාවෙන් ඩොලර් ට්‍රිලියන 45 ක් සොරකම් කළ ආකාරය සහ එමගින් ඉන්දියාව දරිද්‍රතාවයට පත් වූ අයුරු (India)

සම්පූර්ණ ලි… https://t.co/bVBYreTsFg",Neutral,ඉන්දියාවෙන් ඩොලර් ට්රිලියන 45 ක් සොරකම් කළ ආකාරය සහ එමගින් ඉන්දියාව දරිද්රතාවයට පත් වූ අයුරු (India) සම්පූර්ණ ලි…
සිංහල අවුරුද්දට රජයෙන් රුපියල් 5000ක් https://t.co/yGBOvOPorq #lka #srilanka #news https://t.co/bYBteePFGH,Neutral,සිංහල අවුරුද්දට රජයෙන් රුපියල් 5000ක්
එළඹෙන සිංහල දෙමළ අලුත් අවුරුද්ද නිමිත්තෙන් අඩු ආදායම්ලාභී පවුල් ලක්ෂ 31 ක් වෙනුවෙන් අප්‍රේල් සහ මැයි මාස දෙක සඳහා… https://t.co/r9fGd9zqBQ,Neutral,එළඹෙන සිංහල දෙමළ අලුත් අවුරුද්ද නිමිත්තෙන් අඩු ආදායම්ලාභී පවුල් ලක්ෂ 31 ක් වෙනුවෙන් අප්රේල් සහ මැයි මාස දෙක සඳහා…
"සිංහල අලුත් අවුරුද්දට ජනතාවට රජයෙන් රුපියල් 5,000ක් #TruthAtAllCosts #HiruNews #Hiru #HiruSinhalaNews #SriLanka… https://t.co/pNpgzlTNyY",Neutral,"සිංහල අලුත් අවුරුද්දට ජනතාවට රජයෙන් රුපියල් 5,000ක්"
සිංහල අලුත් අවුරුද්දට අඩු ආදායම් ලාභීන්ට රුපියල් 5000 බැගින් මාස දෙකක කාලයක් ලබාදීමට අද (28) පැවති කැබිනට් රැස්වීමේ… https://t.co/UUemZStJ8t,Neutral,සිංහල අලුත් අවුරුද්දට අඩු ආදායම් ලාභීන්ට රුපියල් 5000 බැගින් මාස දෙකක කාලයක් ලබාදීමට අද (28) පැවති කැබිනට් රැස්වීමේ…
"සිංහල අවුරුද්දට රජයෙන් ලැබෙන සුවිශේෂී සහනය මෙන්න 

#srilanka #covid19 #adaderanasinhala #news

වැඩි විස්තර -… https://t.co/0NmYGh4tNx",Neutral,සිංහල අවුරුද්දට රජයෙන් ලැබෙන සුවිශේෂී සහනය මෙන්න වැඩි විස්තර -…
සිංහල හා හින්දු අලුත් අවුරුද්ද වෙනුවෙන් විශේෂ බස්රථ සේවයක් යෙදවීමට ජාතික ගමනාගමන කොමිෂන් සභාව https://t.co/gBsA6OVjpI,Neutral,සිංහල හා හින්දු අලුත් අවුරුද්ද වෙනුවෙන් විශේෂ බස්රථ සේවයක් යෙදවීමට ජාතික ගමනාගමන කොමිෂන් සභාව
"සිංහල හින්දු අලුත් අවුරුදු නැකැත් සීට්ටුව 🌞
*පුණ්‍ය කාලය
Shaa Fm 90.9 / 91.1
@ShaaFMLanka https://t.co/L9kNGpwX0o",Neutral,සිංහල හින්දු අලුත් අවුරුදු නැකැත් සීට්ටුව *පුණ්ය කාලය Shaa Fm 90.9 / 91.1
"නිවාඩුවක් දැම්මා. දවසෙන් භාගයක් ඉතිං කරන්ට් නෑ!!🔥
ඊයෙ ගුඩ් මාකට් එකේ තිබිලා පරණ පොත් දෙකක් අරන් ආවා. එකක් 'ලූකා'.… https://t.co/HL16AgbrQD",Neutral,නිවාඩුවක් දැම්මා. දවසෙන් භාගයක් ඉතිං කරන්ට් නෑ!! ඊයෙ ගුඩ් මාකට් එකේ තිබිලා පරණ පොත් දෙකක් අරන් ආවා. එකක් 'ලූකා'.…
"සිංහල හින්දු අලුත් අවුරුදු නැකැත් සීට්ටුව
අලුත් අවුරුදු උදාව
🌾🌞🙏🌾🌞🙏🌾🌞🙏🌾🌞🙏🌾🌞🙏
SHAA FM 90.9/91.1 https://t.co/uNDFDOY8k0",Neutral,සිංහල හින්දු අලුත් අවුරුදු නැකැත් සීට්ටුව අලුත් අවුරුදු උදාව SHAA FM 90.9/91.1
දෙමළ ඊලම සහ සිංහල ශ්‍රී ලංකාව මෙරට සමාජ දේශපාලන යථාර්ථයයි. ඒ මත එක්සත් ශ්‍රී ලංකාවක් ගොඩ නැගීම නිවැරදිය. යුද්ධය කළේ… https://t.co/jaZPVOwGFt,Neutral,දෙමළ ඊලම සහ සිංහල ශ්රී ලංකාව මෙරට සමාජ දේශපාලන යථාර්ථයයි. ඒ මත එක්සත් ශ්රී ලංකාවක් ගොඩ නැගීම නිවැරදිය. යුද්ධය කළේ…
"වසර 32කට පසු මඩකලපුවේ සිංහල විද්‍යාලයක් ආරම්භ වේ.
#SriLanka #Eastern #school https://t.co/yEthcGe0Ke",Neutral,වසර 32කට පසු මඩකලපුවේ සිංහල විද්යාලයක් ආරම්භ වේ.
වසර තිස් දෙකකට පසු මඩකලපුවට සිංහල විද්‍යාලයක් https://t.co/dN0diqnG4v,Neutral,වසර තිස් දෙකකට පසු මඩකලපුවට සිංහල විද්යාලයක්
"සිංහල හින්දු අලුත් අවුරුදු නැකැත් සීට්ටුව
වැඩ ඇල්ලීම, ගනුදෙනු කිරීම හා ආහාර අනුභවය 
🌾🌞🙏🌾🌞🙏🌾🌞🙏🌾🌞🙏🌾🌞🙏
SHAA FM 90.9/91… https://t.co/4HPLE6i1ab",Neutral,"සිංහල හින්දු අලුත් අවුරුදු නැකැත් සීට්ටුව වැඩ ඇල්ලීම, ගනුදෙනු කිරීම හා ආහාර අනුභවය SHAA FM 90.9/91…"
"සිංහල හින්දු අලුත් අවුරුදු නැකැත් ලිත
SHAA FM 90.9/91.1
@ShaaFMLanka https://t.co/sLZrZfVJOy",Neutral,සිංහල හින්දු අලුත් අවුරුදු නැකැත් ලිත SHAA FM 90.9/91.1
"සාමාන්‍ය පෙළ සිංහල 📒🖊️🖋
දේශක සපුමල් බණ්ඩාර මල්ලව
හෙට ( මාර්තු 29 ) උදෑසන 05.00ට Peo TV සහ Dialog TV චැනල් අංක 14 ඔ… https://t.co/yJrufcvEqb",Neutral,සාමාන්ය පෙළ සිංහල දේශක සපුමල් බණ්ඩාර මල්ලව හෙට ( මාර්තු 29 ) උදෑසන 05.00ට Peo TV සහ Dialog TV චැනල් අංක 14 ඔ…
"උදෑසනට කොළ කැඳ පානය කරන්න
සම්පූර්ණ ලිපිය කියවන්න 👉 https://t.co/aySnvM4SBv Google Paly 👉… https://t.co/JSX0inhJZu",Neutral,උදෑසනට කොළ කැඳ පානය කරන්න සම්පූර්ණ ලිපිය කියවන්න Google Paly …
"අයිස් වලින් වැසුණු ග්‍රීන්ලන්තය හා හරිත පැහැයෙන් දිස්වන අයිස්ලන්තය

සම්පූර්ණ ලිපිය කියවන්න 👉… https://t.co/srCk0rFXLY",Neutral,අයිස් වලින් වැසුණු ග්රීන්ලන්තය හා හරිත පැහැයෙන් දිස්වන අයිස්ලන්තය සම්පූර්ණ ලිපිය කියවන්න …
"වියරු අග්ණියේ ශාපය (Viyaru Agni)
සම්පූර්ණ ලිපිය කියවන්න👉 https://t.co/Kpe9c7jEzH Google Paly 👉… https://t.co/v55gzLpIF3",Neutral,වියරු අග්ණියේ ශාපය (Viyaru Agni) සම්පූර්ණ ලිපිය කියවන්න Google Paly …
"👉 මන් කිව්වා ඔයාලට සිංහල ව්‍යාකරණ පාඩම්වල කොටස් ගේනවා කියලා. 

මේ පළවෙනි එක. 
👉 සරලව
👉 සාමාන්‍ය දැනුමට එක් කරගන්න.… https://t.co/zL3aCjPgNw",Neutral,මන් කිව්වා ඔයාලට සිංහල ව්යාකරණ පාඩම්වල කොටස් ගේනවා කියලා. මේ පළවෙනි එක. සරලව සාමාන්ය දැනුමට එක් කරගන්න.…
"ගෑස්, ඉන්ධන පෝලිම් මෙන්ම ඉදිරියේදී සහල් පෝලිම් ද ඇති විය හැකි බව එක්සත් සහල් නිෂ්පාදකයින්ගේ සංගමය ප්‍රකාශ කර ඇත.… https://t.co/38Ldxx1Rjb",Neutral,"ගෑස්, ඉන්ධන පෝලිම් මෙන්ම ඉදිරියේදී සහල් පෝලිම් ද ඇති විය හැකි බව එක්සත් සහල් නිෂ්පාදකයින්ගේ සංගමය ප්රකාශ කර ඇත.…"
"""සිංහල අවුරුදු පහු වෙනකොට ලංකාවේ තෙල් පෝලිම් අවසන් වෙනවා""

#srilanka #covid19 #adaderanasinhala #news
වැඩි විස්තර -… https://t.co/q4Rbmmr5in",Neutral,"""සිංහල අවුරුදු පහු වෙනකොට ලංකාවේ තෙල් පෝලිම් අවසන් වෙනවා"" වැඩි විස්තර -…"
ඉන්ධන හිඟය සිංහල අලුත් අවුරුදු සමයෙන් පසු පහව යයිද? https://t.co/JgYpHSZyiT,Neutral,ඉන්ධන හිඟය සිංහල අලුත් අවුරුදු සමයෙන් පසු පහව යයිද?
වර්තමාන ආර්ථික අර්බුදයට පදනම් දැමූ @PresRajapaksa මූලික වී තැනූ මත්තල ගුවන්තොටුපොළ පිළිබද ජාත්‍යන්තර විග්‍රහයක් පහත… https://t.co/dpu4MoKWoY,Neutral,වර්තමාන ආර්ථික අර්බුදයට පදනම් දැමූ මූලික වී තැනූ මත්තල ගුවන්තොටුපොළ පිළිබද ජාත්යන්තර විග්රහයක් පහත…
ජ්‍යෙෂ්ඨ අර්ථශාස්ත්‍රඥය හා ශ්‍රී ලංකා මහා බැංකුවේ හිටපු නියෝජ්‍ය අධිපතිවරයෙකුවන ආචාර්ය ඩබ්ලිව්.ඒ. විජේවර්ධන මහතා වි… https://t.co/nLUm2f4JbM,Neutral,ජ්යෙෂ්ඨ අර්ථශාස්ත්රඥය හා ශ්රී ලංකා මහා බැංකුවේ හිටපු නියෝජ්ය අධිපතිවරයෙකුවන ආචාර්ය ඩබ්ලිව්.ඒ. විජේවර්ධන මහතා වි…
එතකොට සිංහල සිංදු ඔක්කොම ගොඩේද 🥲,Neutral,එතකොට සිංහල සිංදු ඔක්කොම ගොඩේද
"උමාරියාගෙ කටහඬ තමයි මම අහපු හොඳම සිංහල ගායිකා හඬ. එහෙම tone variation එකක්, wide range එකක් හැමෝටම ගන්න බෑ.
#කවියඔබ… https://t.co/cgG1QDDmWY",Neutral,"උමාරියාගෙ කටහඬ තමයි මම අහපු හොඳම සිංහල ගායිකා හඬ. එහෙම tone variation එකක්, wide range එකක් හැමෝටම ගන්න බෑ."
EDM හින්දි Classic boot love මල් rock සම්භාවණීය පරණ සිංහල පරණ හින්දි හිටපු ගමන් පරණ ඉංගිරිසි pop hipop එකි නොකී හැම… https://t.co/17LW3EiIk2,Neutral,EDM හින්දි Classic boot love මල් rock සම්භාවණීය පරණ සිංහල පරණ හින්දි හිටපු ගමන් පරණ ඉංගිරිසි pop hipop එකි නොකී හැම…
"ඇත්තටම ජනප්‍රිය නළුවෙක්! ❤️ 
මාත් කාලෙකට පස්සෙ සිංහල ටෙලියක් බලන්න සෙට් වුණේ බණ්ඩා හින්දා. බණ්ඩො ඔයා මරු! මං කැමතිම… https://t.co/jIOYAEDTM0",Neutral,ඇත්තටම ජනප්රිය නළුවෙක්! මාත් කාලෙකට පස්සෙ සිංහල ටෙලියක් බලන්න සෙට් වුණේ බණ්ඩා හින්දා. බණ්ඩො ඔයා මරු! මං කැමතිම…
අද ලෝක සිනමාහල් දිනය යි. Roar සිංහල සිනමාව පිළිබඳ පළ කළ ලිපි සමුච්චයකට ඔබට පහත සබැඳියෙන් පිවිසෙන්නට පුළුවන්.… https://t.co/MWovl9rdau,Neutral,අද ලෝක සිනමාහල් දිනය යි. Roar සිංහල සිනමාව පිළිබඳ පළ කළ ලිපි සමුච්චයකට ඔබට පහත සබැඳියෙන් පිවිසෙන්නට පුළුවන්.…
"වකුගඩු ලෙඩ නවත්වන්න කියලා පොහොර තහනම් කරලා, වකුගඩු ලෙඩ්ඩුන්ට බෙහෙතුත් නැති වුන එකයී වුනේ. විද්‍යාව හරියට ඉගෙන ගත්තු… https://t.co/BEq9ayOzGy",Neutral,"වකුගඩු ලෙඩ නවත්වන්න කියලා පොහොර තහනම් කරලා, වකුගඩු ලෙඩ්ඩුන්ට බෙහෙතුත් නැති වුන එකයී වුනේ. විද්යාව හරියට ඉගෙන ගත්තු…"
"වැලි අනෝදා වල ගුණ 7ක්
සම්පූර්ණ ලිපිය කියවන්න 👉 https://t.co/iyBhkE2LBD 👈
Google Paly 👉… https://t.co/YyAP0RsOEY",Neutral,වැලි අනෝදා වල ගුණ 7ක් සම්පූර්ණ ලිපිය කියවන්න Google Paly …
"දෙවන ලෝක යුධ සමයේ පරවියන් මාරාන්තික ආයුධයක් බවට පත් වීමට ගිය අයුරු (Pigeon)

සම්පූර්ණ ලිපිය කියවන්න 👉… https://t.co/aj30DzcbBD",Neutral,දෙවන ලෝක යුධ සමයේ පරවියන් මාරාන්තික ආයුධයක් බවට පත් වීමට ගිය අයුරු (Pigeon) සම්පූර්ණ ලිපිය කියවන්න …
ශ්‍රී ලංකා පුවත්පත් ආයතනය විසින් සංවිධානය කරන ලද මූලික මාධ්‍ය සාක්ෂරතාව සහ කරුණු පරීක්ෂාව පිළිබඳ වැඩමුළුව සිංහල සහ… https://t.co/VphOXvZF1T,Neutral,ශ්රී ලංකා පුවත්පත් ආයතනය විසින් සංවිධානය කරන ලද මූලික මාධ්ය සාක්ෂරතාව සහ කරුණු පරීක්ෂාව පිළිබඳ වැඩමුළුව සිංහල සහ…
තමන් දෙමල වීම නිසා තමන්ට අහිමිවුනු අයිතිවාසිකම් ලබාගන්න පුලුවන් රාජපක්ෂලාගෙ ආන්ඩුවකින් විතරයි. වෙන ආන්ඩුවකින් ඒවා… https://t.co/fOIauvjImZ,Neutral,තමන් දෙමල වීම නිසා තමන්ට අහිමිවුනු අයිතිවාසිකම් ලබාගන්න පුලුවන් රාජපක්ෂලාගෙ ආන්ඩුවකින් විතරයි. වෙන ආන්ඩුවකින් ඒවා…
"https://t.co/zhaVUN1HYA 2022 තරඟාවලිය සිංහල වැඩමුළුව (Zoom)

දිනය: 2022 මාර්තු මස 31 වන බ්‍රහස්පතින්දා
වේලාව: පස්ව… https://t.co/gxqeOw0yRr",Neutral,2022 තරඟාවලිය සිංහල වැඩමුළුව (Zoom) දිනය: 2022 මාර්තු මස 31 වන බ්රහස්පතින්දා වේලාව: පස්ව…
"පැන් පහසු කල - යතුරු පොකුණ 🗝🗝🚰 (Yathuru Pokuna)
සම්පූර්ණ ලිපිය කියවන්න👉 https://t.co/JNre7M8a42 #සුන්දරලංකා… https://t.co/dkhr9oeDxV",Neutral,පැන් පහසු කල - යතුරු පොකුණ (Yathuru Pokuna) සම්පූර්ණ ලිපිය කියවන්න
"වසර දෙදහසක් පැරණි යබොර නිධිය ත්‍රිකුණාමලයෙන් හමුවෙයි (Yabora)
සම්පූර්ණ ලිපිය කියවන්න 👉 https://t.co/iukdyYTFoN… https://t.co/MIjf9gZhOu",Neutral,වසර දෙදහසක් පැරණි යබොර නිධිය ත්රිකුණාමලයෙන් හමුවෙයි (Yabora) සම්පූර්ණ ලිපිය කියවන්න
"මට පේන්නේ යුද්ධ කරලා අ.ල්ලගෙන
පෑනෙන් ලියලා ආපහු දෙනවා
කමක් නෑ දැන් දෙමලා, තම්බියා,
සිංහල කියලා හැමෝම එකට පෝලිමේ කෝ… https://t.co/MOmGkmm9EI",Neutral,"මට පේන්නේ යුද්ධ කරලා අ.ල්ලගෙන පෑනෙන් ලියලා ආපහු දෙනවා කමක් නෑ දැන් දෙමලා, තම්බියා, සිංහල කියලා හැමෝම එකට පෝලිමේ කෝ…"
මේ බැල්ලි කොටින්ගේ ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ . ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුකක් දැනෙනවා ඉස්සරහට උපසම්පදාව තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන්ම ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්,Hatespeech,මේ බැල්ලි කොටින්ගේ ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ . ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුකක් දැනෙනවා ඉස්සරහට උපසම්පදාව තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන්ම ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්
"සිංහල සින්දු කියන විදේශිකයෝ 👏

වචන උච්චාරණය අපේ සමහර දේශපාලඥයින්ට වඩා හුඟක් ඉහළයි 🙂 https://t.co/wAPAkREK98",Neutral,සිංහල සින්දු කියන විදේශිකයෝ වචන උච්චාරණය අපේ සමහර දේශපාලඥයින්ට වඩා හුඟක් ඉහළයි
"ලොකු වැඩ කරන්න කලින් සිංහල ටිකක් වත් ලියන්න ඉගෙන ගනින්..
මු බැසිල්ගෙ ගෝලයෙක්ද මන්දා 🤣 https://t.co/GritjgWTeF",Neutral,ලොකු වැඩ කරන්න කලින් සිංහල ටිකක් වත් ලියන්න ඉගෙන ගනින්.. මු බැසිල්ගෙ ගෝලයෙක්ද මන්දා
කලමණාකරණය -- ( 'ර'යේ සහ අද ) මේවටත් කලමණාකරණය කියන මහත්තුරැ ඉන්නව තාමත් ..! 😃 රටක දියුණුව මනින්න ඉන්න අයගේ… https://t.co/NEvxew8T7R,Neutral,කලමණාකරණය -- ( 'ර'යේ සහ අද ) මේවටත් කලමණාකරණය කියන මහත්තුරැ ඉන්නව තාමත් ..! රටක දියුණුව මනින්න ඉන්න අයගේ…
"නවය වසරට සිංහල මිස් පෞද්ගලික ලිපියක් ලියන්න කියලා දෙන ගමන්.

මිස්- දැන් අපි අදුරන කෙනෙක්ට ලියන නිසා සුහද විදිහට ලි… https://t.co/4uaRIU8Q9N",Neutral,නවය වසරට සිංහල මිස් පෞද්ගලික ලිපියක් ලියන්න කියලා දෙන ගමන්. මිස්- දැන් අපි අදුරන කෙනෙක්ට ලියන නිසා සුහද විදිහට ලි…
"මියුනිච් සංහාරය - 1972 ඔලිම්පික් ක්‍රීඩා උළෙල දිනකට නතර කළ බිහිසුණු ත්‍රස්ත ප්‍රහාරය

සම්පූර්ණ ලිපිය කියවන්න 👉… https://t.co/bCiBHYRPfz",Neutral,මියුනිච් සංහාරය - 1972 ඔලිම්පික් ක්රීඩා උළෙල දිනකට නතර කළ බිහිසුණු ත්රස්ත ප්රහාරය සම්පූර්ණ ලිපිය කියවන්න …
"ආප්ප වල සුවඳට වහ වැටුණු පෙරේත ආත්මය (Chamara)
සම්පූර්ණ ලිපිය කියවන්න👉 https://t.co/hy2qhS6Lf3 👈… https://t.co/ZfOtjthGBk",Neutral,ආප්ප වල සුවඳට වහ වැටුණු පෙරේත ආත්මය (Chamara) සම්පූර්ණ ලිපිය කියවන්න …
#විජය_නැතුව_ගෝඨා_ආවනම් කාවන්තිස්‌ස රජතුමා තමයි උපතිස්ස වෙනුවට සිංහල රාජධානියේ දෙවන රජු වෙන්නේ.,Neutral,කාවන්තිස්‌ස රජතුමා තමයි උපතිස්ස වෙනුවට සිංහල රාජධානියේ දෙවන රජු වෙන්නේ.
"කර්මය කියන්නේ ඔය අහින්සක මිනිස්සුන්ට නෙලන්න ආපු හමුදාවේ පොලිසියේ මහත්තවරු ටිකත් රාජකාරීයෙන් පස්සේ 
ඔය කාකි කෝට් ගලව… https://t.co/LJhR1AeyWr",Neutral,කර්මය කියන්නේ ඔය අහින්සක මිනිස්සුන්ට නෙලන්න ආපු හමුදාවේ පොලිසියේ මහත්තවරු ටිකත් රාජකාරීයෙන් පස්සේ ඔය කාකි කෝට් ගලව…
"ත්‍රිවිධ හමුදාවේ තාත්තේ , අයියේ, මාමෙ 
ඔබ ඔය පහර පිට පහර දෙන්නෙ ඔබේ ම පන්තියේ පීඩිත මිනිස්සුන්ට😥😥",Neutral,"ත්රිවිධ හමුදාවේ තාත්තේ , අයියේ, මාමෙ ඔබ ඔය පහර පිට පහර දෙන්නෙ ඔබේ ම පන්තියේ පීඩිත මිනිස්සුන්ට"
"ත්‍රිවිධ හමුදාවේ සහෝදරවරුනේ
ඔබ ඔය පහර පිට පහර දෙන්නෙ ඔබේ ම පන්තියේ පීඩිත මිනිස්සුන්ටයි👏

වහාම ජනතාව සමග එක් වන්න",Neutral,ත්රිවිධ හමුදාවේ සහෝදරවරුනේ ඔබ ඔය පහර පිට පහර දෙන්නෙ ඔබේ ම පන්තියේ පීඩිත මිනිස්සුන්ටයි වහාම ජනතාව සමග එක් වන්න
අරුන්ව ගාඩ් කරන සමාන්‍ය පන්තියේ පොලීසියේ ත්‍රිවිධ හමුදාවේ එවුන්ටත් මොලේ පෑදේවා..ඉහළ අණට වඩා සාමන්‍ය මිනිස්සුන්ගෙ ජී… https://t.co/EZDj6tWVti,Neutral,අරුන්ව ගාඩ් කරන සමාන්ය පන්තියේ පොලීසියේ ත්රිවිධ හමුදාවේ එවුන්ටත් මොලේ පෑදේවා..ඉහළ අණට වඩා සාමන්ය මිනිස්සුන්ගෙ ජී…
"රටේ මිනිස්සු පාරට බැස්සොත්, ඒක ""බලෙන්"" නවත්තන්න එන හමුදාවේ පොලිසියේ මහත්තුරුන්ටත් තේරෙන්න ඕනේ ඔය වැඩකට නැති කාලකන්… https://t.co/EiUFlDqDms",Neutral,"රටේ මිනිස්සු පාරට බැස්සොත්, ඒක ""බලෙන්"" නවත්තන්න එන හමුදාවේ පොලිසියේ මහත්තුරුන්ටත් තේරෙන්න ඕනේ ඔය වැඩකට නැති කාලකන්…"
හමුදාවේ මහන්සිය... https://t.co/ixgCL3qZLt,Neutral,හමුදාවේ මහන්සිය...
